dist1,dist2,dist3,angle
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
1.4311,1.2532,1.756,-22.0
